index	name	abbreviation	color	volume_mm3
210	left Laterointermediate area, layer 5	VISli5-L	0A848A	0.0739687535133271
211	left Laterointermediate area, layer 6a	VISli6a-L	088488	0.039843751892476575
212	left Laterointermediate area, layer 6b	VISli6b-L	08818B	0.007828125371815986
213	left Postrhinal area	VISpor-L	098588	0.0
214	left Postrhinal area, layer 1	VISpor1-L	09818C	0.1250937559416343
215	left Postrhinal area, layer 2/3	VISpor2/3-L	0A8389	0.18695313387979695
216	left Postrhinal area, layer 4	VISpor4-L	0A828A	0.030250001436797902
217	left Postrhinal area, layer 5	VISpor5-L	0B838A	0.19239063413806434
218	left Postrhinal area, layer 6a	VISpor6a-L	0C858B	0.09023437928590283
219	left Postrhinal area, layer 6b	VISpor6b-L	0C848C	0.01628125077331788
220	left Anterior cingulate area	ACA-L	40A666	0.0
221	left Anterior cingulate area, layer 1	ACA1-L	3FA565	0.0
222	left Anterior cingulate area, layer 2/3	ACA2/3-L	3FA564	0.0
223	left Anterior cingulate area, layer 5	ACA5-L	40A466	0.0
224	left Anterior cingulate area, layer 6a	ACA6a-L	3FA666	0.0
225	left Anterior cingulate area, layer 6b	ACA6b-L	3FA665	0.0
226	left Anterior cingulate area, dorsal part	ACAd-L	40A665	0.0
227	left Anterior cingulate area, dorsal part, layer 1	ACAd1-L	3EA665	0.28962501375644933
228	left Anterior cingulate area, dorsal part, layer 2/3	ACAd2/3-L	40A565	0.3041250144451624
229	left Anterior cingulate area, dorsal part, layer 5	ACAd5-L	3EA566	0.6005156535229617
230	left Anterior cingulate area, dorsal part, layer 6a	ACAd6a-L	3FA664	0.3498750166181708
231	left Anterior cingulate area, dorsal part, layer 6b	ACAd6b-L	3FA466	0.012281250583328074
232	left Anterior cingulate area, ventral part	ACAv-L	40A566	0.0
233	left Anterior cingulate area, ventral part, layer 1	ACAv1-L	40A664	0.2340312611158879
234	left Anterior cingulate area, ventral part, layer 2/3	ACAv2/3-L	3FA566	0.2475312617571035
235	left Anterior cingulate area, ventral part, layer 5	ACAv5-L	3EA666	0.5041718989468791
236	left Anterior cingulate area, ventral part, 6a	ACAv6a-L	40A564	0.1812343836081709
237	left Anterior cingulate area, ventral part, 6b	ACAv6b-L	40A465	0.030906251467968104
238	left Prelimbic area	PL-L	2EA750	0.0
239	left Prelimbic area, layer 1	PL1-L	2FA750	0.2549062621073972
240	left Prelimbic area, layer 2	PL2-L	2EA850	0.0
241	left Prelimbic area, layer 2/3	PL2/3-L	2FA74F	0.20753125985720544
242	left Prelimbic area, layer 5	PL5-L	2EA84F	0.4940781484674517
243	left Prelimbic area, layer 6a	PL6a-L	2FA850	0.23148438599491783
244	left Prelimbic area, layer 6b	PL6b-L	2FA84F	0.010703125508371159
245	left Infralimbic area	ILA-L	59B363	0.0
246	left Infralimbic area, layer 1	ILA1-L	59B263	0.07314062847399327
247	left Infralimbic area, layer 2	ILA2-L	58B363	0.0
248	left Infralimbic area, layer 2/3	ILA2/3-L	59B362	0.07156250339903636
249	left Infralimbic area, layer 5	ILA5-L	59B262	0.16735938294914376
250	left Infralimbic area, layer 6a	ILA6a-L	58B362	0.10242187986477802
251	left Infralimbic area, layer 6b	ILA6b-L	58B263	0.00531250025233021
252	left Orbital area	ORB-L	23895C	0.0
253	left Orbital area, layer 1	ORB1-L	248A5E	0.0
254	left Orbital area, layer 2/3	ORB2/3-L	24885E	0.0
255	left Orbital area, layer 5	ORB5-L	24895E	0.0
256	left Orbital area, layer 6a	ORB6a-L	23895E	0.0
257	left Orbital area, layer 6b	ORB6b-L	228A5E	0.0
258	left Orbital area, lateral part	ORBl-L	23885D	0.0
259	left Orbital area, lateral part, layer 1	ORBl1-L	238A5D	0.18784375892209937
260	left Orbital area, lateral part, layer 2/3	ORBl2/3-L	238A5E	0.310750014759833
261	left Orbital area, lateral part, layer 5	ORBl5-L	228A5D	0.603515653665454
262	left Orbital area, lateral part, layer 6a	ORBl6a-L	24895D	0.2386875113370479
263	left Orbital area, lateral part, layer 6b	ORBl6b-L	248A5C	0.02267187607685628
264	left Orbital area, medial part	ORBm-L	22895D	0.0
265	left Orbital area, medial part, layer 1	ORBm1-L	23895D	0.20557813476443698
266	left Orbital area, medial part, layer 2	ORBm2-L	24895C	0.0
267	left Orbital area, medial part, layer 2/3	ORBm2/3-L	24885D	0.15823438251572952
268	left Orbital area, medial part, layer 5	ORBm5-L	23885E	0.23593751120642992
269	left Orbital area, medial part, layer 6a	ORBm6a-L	22885E	0.09320312942691089
270	left Orbital area, medial part, layer 6b	ORBm6b-L	24875E	0.0018750000890577212
271	left Orbital area, ventral part	ORBv-L	24885C	0.0
272	left Orbital area, ventrolateral part	ORBvl-L	228A5C	0.0
273	left Orbital area, ventrolateral part, layer 1	ORBvl1-L	248A5B	0.19271875915364944
274	left Orbital area, ventrolateral part, layer 2/3	ORBvl2/3-L	248A5D	0.2617812624339422
275	left Orbital area, ventrolateral part, layer 5	ORBvl5-L	23885C	0.30995313972198346
276	left Orbital area, ventrolateral part, layer 6a	ORBvl6a-L	238A5C	0.1190000056521967
277	left Orbital area, ventrolateral part, layer 6b	ORBvl6b-L	22895E	0.005171875245650881
278	left Agranular insular area	AI-L	219866	0.0
279	left Agranular insular area, dorsal part	AId-L	219865	0.0
280	left Agranular insular area, dorsal part, layer 1	AId1-L	209764	0.23034376094074105
281	left Agranular insular area, dorsal part, layer 2/3	AId2/3-L	209765	0.46315627199874143
282	left Agranular insular area, dorsal part, layer 5	AId5-L	209665	0.7542187858234684
283	left Agranular insular area, dorsal part, layer 6a	AId6a-L	209666	0.3907187685581448
284	left Agranular insular area, dorsal part, layer 6b	AId6b-L	1F9766	0.02521875119782635
285	left Agranular insular area, posterior part	AIp-L	219766	0.0
286	left Agranular insular area, posterior part, layer 1	AIp1-L	219765	0.21095313501973578
287	left Agranular insular area, posterior part, layer 2/3	AIp2/3-L	209865	0.4015937690746796
288	left Agranular insular area, posterior part, layer 5	AIp5-L	219864	0.37634376787536894
289	left Agranular insular area, posterior part, layer 6a	AIp6a-L	209766	0.21810938535963942
290	left Agranular insular area, posterior part, layer 6b	AIp6b-L	219666	0.010265625487591024
291	left Agranular insular area, ventral part	AIv-L	209866	0.0
292	left Agranular insular area, ventral part, layer 1	AIv1-L	209864	0.12546875595944584
293	left Agranular insular area, ventral part, layer 2/3	AIv2/3-L	219764	0.2970937641111959
294	left Agranular insular area, ventral part, layer 5	AIv5-L	1F9865	0.3605625171257998
295	left Agranular insular area, ventral part, layer 6a	AIv6a-L	1F9866	0.08423437900091812
296	left Agranular insular area, ventral part, layer 6b	AIv6b-L	219665	0.001500000071246177
297	left Retrosplenial area	RSP-L	1AA698	0.0
298	left Retrosplenial area, lateral agranular part	RSPagl-L	1BA497	0.0
299	left Retrosplenial area, lateral agranular part, layer 1	RSPagl1-L	1BA696	0.2532031370265031
300	left Retrosplenial area, lateral agranular part, layer 2/3	RSPagl2/3-L	1AA496	0.3344218908841867
301	left Retrosplenial area, lateral agranular part, layer 5	RSPagl5-L	1CA697	0.3667343924189481
302	left Retrosplenial area, lateral agranular part, layer 6a	RSPagl6a-L	1CA597	0.20546875975924195
303	left Retrosplenial area, lateral agranular part, layer 6b	RSPagl6b-L	1AA598	0.01821875086534419
304	left Mediomedial anterior visual area	VISmma-L	1CA696	0.0
305	left Mediomedial anterior visual area, layer 1	VISmma1-L	1CA498	0.0
306	left Mediomedial anterior visual area, layer 2/3	VISmma2/3-L	1AA695	0.0
