index	name	abbreviation	volume_mm3
169	Parabrachial Nucleus (Right Hemisphere)	PB_RH	0.08725000414415263
170	Parabrachial Nucleus (Left Hemisphere)	PB_LH	0.08762500416196417
171	Superior Olivary Complex (Right Hemisphere)	SOC_RH	0.4538750215579057
172	Superior Olivary Complex (Left Hemisphere)	SOC_LH	0.45100002142135054
173	Primary Motor Nucleus (Hindbrain) (Right Hemisphere)	P-mot_RH	2.860250135854585
174	Primary Motor Nucleus (Hindbrain) (Left Hemisphere)	P-mot_LH	2.901187637799012
175	P-sat (Hindbrain) (Right Hemisphere)	P-sat_RH	1.6901250802766299
176	P-sat (Hindbrain) (Left Hemisphere)	P-sat_LH	1.7436875828207121
177	MY-sen (Hindbrain) (Right Hemisphere)	MY-sen_RH	2.9067501380632166
178	MY-sen (Hindbrain) (Left Hemisphere)	MY-sen_LH	2.939687639627664
179	Cochlear Nucleus (Right Hemisphere)	CN_RH	0.8122500385798048
180	Cochlear Nucleus (Left Hemisphere)	CN_LH	0.8111250385263702
181	Dorsal Cochlear Nucleus (Right Hemisphere)	DCN_RH	0.2045000097132288
182	Dorsal Cochlear Nucleus (Left Hemisphere)	DCN_LH	0.20287500963604543
183	Myelencephalon Motor Nucleus (Right Hemisphere)	MY-mot_RH	5.10937524268229
184	Myelencephalon Motor Nucleus (Left Hemisphere)	MY-mot_LH	5.232625248536351
185	Ambiguus Nucleus (Right Hemisphere)	AMB_RH	0.02212500105088111
186	Ambiguus Nucleus (Left Hemisphere)	AMB_LH	0.02200000104494393
187	Lateral Reticular Nucleus (Right Hemisphere)	LRN_RH	0.26787501272337977
188	Lateral Reticular Nucleus (Left Hemisphere)	LRN_LH	0.26187501243839506
189	Medullary Reticular Nucleus (Right Hemisphere)	MDRN_RH	1.015625048239599
190	Medullary Reticular Nucleus (Left Hemisphere)	MDRN_LH	1.0135625481416355
191	Paragigantocellular Reticular Nucleus (Right Hemisphere)	PGRN_RH	0.4748750225553522
192	Paragigantocellular Reticular Nucleus (Left Hemisphere)	PGRN_LH	0.4748125225523836
193	Phrenic Nucleus (Right Hemisphere)	PHY_RH	0.13350000634090975
194	Phrenic Nucleus (Left Hemisphere)	PHY_LH	0.14281250678322976
195	Vagal Complex (Right Hemisphere)	VNC_RH	1.599875075989985
196	Vagal Complex (Left Hemisphere)	VNC_LH	1.5916875756010995
197	Myelencephalon Satiety Nucleus (Right Hemisphere)	MY-sat_RH	0.0
198	Myelencephalon Satiety Nucleus (Left Hemisphere)	MY-sat_LH	0.2843125135041191
